en,nl,en-nl,nl-en
vent,ventilator,0,0.0307924363
vent,in,0.0217596116,0
vent,krater,0,0.0437731795
vent,opening,0.0460433381,0
vent,uitlaat,0,0.0401501576
vent,schacht,0,0.0519887961
vent,split,0,0.010199836
vent,uiten,0.0101834982,0
vent,dicht,0.0435192232,0
vent,verluchting,0,0.2499986
vent,dood,0.0144919013,0
vent,leeglopen,0,0.0145990905
vent,lijken,0.0435192232,0
vent,vertellen,0.0218901693,0
bound,plat,0,0.124853993
bound,bundelen,0,0.0158090484
bound,huiswaarts,0.0247746012,0.2000386459
bound,ver,0.0110078984,0
bound,autosnelweg,0,0.0665165207
bound,grenzeloos,0,0.0826106035
bound,binding,0,0.011804567
bound,aanvallen,0.010576849,0
bound,gaat,0.0238217319,0
bound,heen,0.0119108659,0
bound,inbinden,0,0.0452499987
bound,hok,0,0.018705501
bound,onderweg,0.0481198984,0
midnight,souper,0,0.0826620836
midnight,nachtelijk,0,0.1977979435
midnight,sneltrein,0,0.0363329936
midnight,overwerk,0,0.063742549
midnight,middernacht,0.536625773,0.7592576667
midnight,minderen,0,0.0714250043
midnight,pompoen,0,0.0177124163
midnight,12,0.0103848786,0
midnight,versturen,0,0.0145119997
midnight,jong,0.0555340642,0
central,station,0.0168989139,0
central,centrum,0.0157989846,0
central,centraal,0.0572963177,0.7667433263
central,zuid,0,0.0232393086
central,weefsel,0,0.0207043961
central,centrale,0.1449906818,0.1382217541
central,midden,0,0.1273111003
central,pilaar,0,0.0177633225
engage,beminnelijk,0,0.0334066813
engage,belangstellend,0.035702436,0.4954999999
engage,bezighouden,0,0.0261666942
engage,engageren,0,0.1110301632
engage,ontsteken,0,0.0833076621
engage,lanceren,0,0.0232068344
engage,achteraan,0.035702436,0.0250414299
engage,aanstaand,0,0.3233233233
engage,vallen,0.0180654326,0
engage,verloven,0.0329890509,0.7648919183
engage,shot,0,0.0947397975
engage,zoeken,0,0.0588462804
engage,verloofden,0.0367378067,0.5311327832
engage,moskou,0.035702436,0
engage,verloving,0,0.0798916615
engage,vizier,0,0.0142931203
engage,moeien,0,0.0625312452
engage,interessant,0.035702436,0
engage,vinger,0,0.0714644907
engage,lachen,0.0172085742,0
engage,aangaan,0.0187795106,0.1153935016
engage,sein,0.035702436,0
engage,aanvallen,0.021778486,0
engage,ingrijpen,0,0.0146606643
engage,aanlokkelijk,0,0.0166666649
policeman,pas,0.0238037066,0
